masv,hocky,namhoc,dtbhk,sotchk
16520265,2,2017,6.74,21
16520265,1,2018,7.58,24
16520266,1,2016,6.18,17
16520266,2,2016,6.47,19
16520266,1,2017,7.78,18
16520266,2,2017,7.67,23
16520266,1,2018,7.44,19
16520267,1,2016,5.95,15
16520267,2,2016,4.04,15
16520267,1,2017,5.95,24
16520267,2,2017,4.84,22
16520267,3,2017,4.5,4
16520267,1,2018,6.13,21
16520269,1,2016,6.19,17
16520269,2,2016,6.92,24
16520269,1,2017,7.31,22
16520269,2,2017,7.02,20
16520269,1,2018,6.71,21
16520270,1,2016,6.27,19
16520270,2,2016,6.42,19
16520270,1,2017,6.76,24
16520270,2,2017,7.25,22
16520270,1,2018,7.27,24
16520272,1,2016,6.35,15
16520272,2,2016,6.59,15
16520272,3,2016,8.4,4
16520272,1,2017,7.15,24
16520272,2,2017,7.29,24
16520272,1,2018,7.22,24
16520274,1,2016,7.3,17
16520274,2,2016,6.28,19
16520274,1,2017,8.38,19
16520274,2,2017,7.58,21
16520274,1,2018,8.38,19
16520276,1,2016,8.01,17
16520276,2,2016,7.4,21
16520276,1,2017,8.58,19
16520276,2,2017,7.59,20
16520276,1,2018,6.05,16
16520277,1,2016,6.69,17
16520277,2,2016,5.76,19
16520277,1,2017,7.25,22
16520277,2,2017,6.76,21
16520277,3,2017,7.2,4
16520277,1,2018,7.35,18
16520284,1,2016,6.78,17
16520284,2,2016,3.15,17
16520284,1,2017,5.09,19
16520284,2,2017,2.36,19
16520284,3,2017,0.0,4
16520284,1,2018,7.17,12
16520285,1,2016,7.44,17
16520285,2,2016,6.62,19
16520285,1,2017,7.4,23
16520285,2,2017,7.0,24
16520285,1,2018,6.8,18
16520287,1,2016,8.3,17
16520287,2,2016,6.89,19
16520287,1,2017,8.46,23
16520287,2,2017,7.86,20
16520287,1,2018,7.41,14
16520289,1,2016,7.32,17
16520289,2,2016,6.57,19
16520289,1,2017,7.17,22
16520289,2,2017,6.81,21
16520289,1,2018,4.74,14
16520291,1,2016,6.39,17
16520291,2,2016,7.03,19
16520291,1,2017,7.57,24
16520291,2,2017,7.76,23
16520291,1,2018,6.48,15
16520292,1,2016,6.57,19
16520292,2,2016,4.48,19
16520292,1,2017,6.9,22
16520292,2,2017,6.32,19
16520292,1,2018,6.83,18
16520295,1,2016,6.04,19
16520295,2,2016,4.78,19
16520295,1,2017,5.85,24
16520295,2,2017,6.97,19
16520295,1,2018,5.32,14
16520296,1,2016,7.25,17
16520296,2,2016,7.41,19
16520296,1,2017,7.33,21
16520296,2,2017,7.2,23
16520296,1,2018,5.6,16
16520297,1,2016,8.45,15
16520297,2,2016,5.72,15
16520297,1,2017,7.03,24
16520297,2,2017,7.11,24
16520297,3,2017,9.2,4
16520297,1,2018,6.94,20
16520299,1,2016,7.75,17
16520299,2,2016,7.59,19
16520299,1,2017,7.98,20
16520299,2,2017,7.67,22
16520299,1,2018,6.73,21
16520300,1,2016,5.29,17
16520300,2,2016,5.36,21
16520300,3,2016,5.9,3
16520300,1,2017,4.23,24
16520300,2,2017,4.42,23
16520300,3,2017,2.3,3
16520300,1,2018,3.66,24
16520301,1,2016,1.05,13
16520301,2,2016,0.27,15
16520301,2,2017,1.02,17
16520303,1,2016,7.75,17
16520303,2,2016,6.82,19
16520303,1,2017,8.08,23
16520303,2,2017,7.52,23
16520303,1,2018,7.5,18
16520304,1,2016,7.16,17
16520304,2,2016,5.89,19
16520304,1,2017,7.43,22
16520304,2,2017,6.81,19
16520304,1,2018,6.88,20
16520305,1,2016,7.22,15
16520305,2,2016,5.9,15
16520305,1,2017,7.19,24
16520305,2,2017,6.84,24
16520305,1,2018,7.12,20
16520308,1,2016,6.1,19
16520308,2,2016,5.74,19
16520308,1,2017,6.92,21
16520308,2,2017,6.15,17
16520308,1,2018,6.64,21
16520311,1,2016,7.62,15
16520311,2,2016,7.49,20
16520311,1,2017,7.92,24
16520311,2,2017,7.75,17
16520311,1,2018,6.69,23
16520312,1,2016,6.56,17
16520312,2,2016,6.16,21
16520312,1,2017,7.08,21
16520312,2,2017,6.26,14
16520312,1,2018,7.36,22
16520313,1,2016,7.44,17
16520313,2,2016,7.12,21
16520313,1,2017,7.09,24
16520313,2,2017,8.23,21
16520313,1,2018,6.89,21
16520314,1,2016,7.19,17
16520314,2,2016,7.34,20
16520314,1,2017,6.82,23
16520314,2,2017,7.85,21
16520314,1,2018,7.88,20
16520316,1,2016,7.67,17
16520316,2,2016,7.22,21
16520316,1,2017,8.33,19
16520316,2,2017,8.35,19
16520316,1,2018,8.52,18
16520317,1,2016,6.82,19
16520317,2,2016,7.55,17
16520317,1,2017,7.84,19
16520317,2,2017,7.39,23
16520317,1,2018,7.44,15
16520318,1,2016,8.29,13
16520320,1,2016,6.5,15
16520320,2,2016,6.62,17
16520320,1,2017,7.2,24
16520320,2,2017,7.95,19
16520320,1,2018,7.66,18
16520322,1,2016,6.75,17
